old_path,new_path,year,title,video_id,date
03_Reference/transcripts/20250915-9Ew-cc6ecso.txt,03_Reference/transcripts/2025/These Canucks players just IMPRESSED at the prospect showcase [9Ew-cc6ecso].txt,2025,These Canucks players just IMPRESSED at the prospect showcase....,9Ew-cc6ecso,2025-09-15
03_Reference/transcripts/20250925-mViQ2emtoX4.txt,03_Reference/transcripts/2025/This Young Canucks Defenceman is turning into a MONSTER [mViQ2emtoX4].txt,2025,This Young Canucks Defenceman is turning into a MONSTER....,mViQ2emtoX4,2025-09-25
03_Reference/transcripts/20250927-v-3gk_TuWkQ.txt,03_Reference/transcripts/2025/The Canucks have an absolute STAR in the making [v-3gk_TuWkQ].txt,2025,The Canucks have an absolute STAR in the making....,v-3gk_TuWkQ,2025-09-27
03_Reference/transcripts/20250929-eKKqBe_16no.txt,03_Reference/transcripts/2025/The Canucks have a VERY difficult decision to make here [eKKqBe_16no].txt,2025,The Canucks have a VERY difficult decision to make here....,eKKqBe_16no,2025-09-29
03_Reference/transcripts/20251002-6Ou710CCIqI.txt,03_Reference/transcripts/2025/Canucks fans are absolutely LOVING this right now [6Ou710CCIqI].txt,2025,Canucks fans are absolutely LOVING this right now...,6Ou710CCIqI,2025-10-02
03_Reference/transcripts/20251004-FJzxBpYwv5I.txt,03_Reference/transcripts/2025/This Canucks youngster is WAY BETTER than we imagined [FJzxBpYwv5I].txt,2025,This Canucks youngster is WAY BETTER than we imagined....,FJzxBpYwv5I,2025-10-04
03_Reference/transcripts/20251010-hWofmROBEhE.txt,03_Reference/transcripts/2025/The Vancouver Canucks are OFFICIALLY back [hWofmROBEhE].txt,2025,The Vancouver Canucks are OFFICIALLY back....,hWofmROBEhE,2025-10-10
03_Reference/transcripts/20251012-7P93-kdQO8I.txt,03_Reference/transcripts/2025/He just proved why he's STILL one of the best in the NHL [7P93-kdQO8I].txt,2025,He just proved why he's STILL one of the best in the NHL...,7P93-kdQO8I,2025-10-12
03_Reference/transcripts/20251017-3j1tS07toZI.txt,03_Reference/transcripts/2025/The Vancouver Canucks make absolutely NO SENSE [3j1tS07toZI].txt,2025,The Vancouver Canucks make absolutely NO SENSE...,3j1tS07toZI,2025-10-17
03_Reference/transcripts/20251018-TxoI-rEWkrQ.txt,03_Reference/transcripts/2025/This Canucks player is REALLY making a name for himself [TxoI-rEWkrQ].txt,2025,This Canucks player is REALLY making a name for himself...,TxoI-rEWkrQ,2025-10-18
03_Reference/transcripts/20251019-V1Gtq654PkA.txt,03_Reference/transcripts/2025/The Canucks just had a MASSIVE character win [V1Gtq654PkA].txt,2025,The Canucks just had a MASSIVE character win....,V1Gtq654PkA,2025-10-19
03_Reference/transcripts/20251022-XllCx6WGOM4.txt,03_Reference/transcripts/2025/The Canucks are SUDDENLY in a very tough position [XllCx6WGOM4].txt,2025,The Canucks are SUDDENLY in a very tough position...,XllCx6WGOM4,2025-10-22
03_Reference/transcripts/20251024-0dqHT2U1KFo.txt,03_Reference/transcripts/2025/The Canucks have some SERIOUS issues to address [0dqHT2U1KFo].txt,2025,The Canucks have some SERIOUS issues to address....,0dqHT2U1KFo,2025-10-24
03_Reference/transcripts/20251026-WorJ2mmsPig.txt,03_Reference/transcripts/2025/This is starting to get RIDICULOUS from him [WorJ2mmsPig].txt,2025,This is starting to get RIDICULOUS from him....,WorJ2mmsPig,2025-10-26
